Column1,Column2,Column3,Column4,Column5,Column6,Column7
2025-02-15 01:49:16,SUIUSDTPerp,2025-02-15 01:49:16SUIUSDTPerpOpen long3.50820057.9 SUI0.00000000 USDT,Open long,3.508200,57.9 SUI,0.00000000 USDT
2025-02-15 01:46:04,1000PEPEUSDTPerp,"2025-02-15 01:46:041000PEPEUSDTPerpOpen long0.010075720,018 1000PEPE0.00000000 USDT",Open long,0.0100757,"20,018 1000PEPE",0.00000000 USDT
2025-02-15 01:34:15,1000PEPEUSDTPerp,"2025-02-15 01:34:151000PEPEUSDTPerpOpen long0.010138517,683 1000PEPE0.00000000 USDT",Open long,0.0101385,"17,683 1000PEPE",0.00000000 USDT
2025-02-15 00:11:39,SUIUSDTPerp,2025-02-15 00:11:39SUIUSDTPerpOpen long3.52940051.1 SUI0.00000000 USDT,Open long,3.529400,51.1 SUI,0.00000000 USDT
2025-02-12 19:55:12,HBARUSDTPerp,"2025-02-12 19:55:12HBARUSDTPerpClose long0.221581,724 HBAR+8.76555999 USDT",Close long,0.22158,"1,724 HBAR",+8.76555999 USDT
2025-02-12 19:52:58,1000PEPEUSDTPerp,"2025-02-12 19:52:581000PEPEUSDTPerpClose long0.009496461,913 1000PEPE+17.67600079 USDT",Close long,0.0094964,"61,913 1000PEPE",+17.67600079 USDT
2025-02-12 19:50:20,SUIUSDTPerp,2025-02-12 19:50:20SUIUSDTPerpClose long3.243200192.7 SUI+18.57887999 USDT,Close long,3.243200,192.7 SUI,+18.57887999 USDT
2025-02-12 18:25:17,XRPUSDTPerp,2025-02-12 18:25:17XRPUSDTPerpClose long2.412573.6 XRP+5.50528000 USDT,Close long,2.4125,73.6 XRP,+5.50528000 USDT
2025-02-12 18:24:29,FETUSDTPerp,2025-02-12 18:24:29FETUSDTPerpClose long0.7425000514 FET+11.75270000 USDT,Close long,0.7425000,514 FET,+11.75270000 USDT
2025-02-12 18:24:27,ICPUSDTPerp,2025-02-12 18:24:27ICPUSDTPerpClose long7.07400027 ICP+5.72919230 USDT,Close long,7.074000,27 ICP,+5.72919230 USDT
2025-02-12 18:24:27,ICPUSDTPerp,2025-02-12 18:24:27ICPUSDTPerpClose long7.07400025 ICP+5.30480769 USDT,Close long,7.074000,25 ICP,+5.30480769 USDT
2025-02-12 17:51:54,ONDOUSDTPerp,2025-02-12 17:51:54ONDOUSDTPerpClose long1.3391000292.5 ONDO+11.40260999 USDT,Close long,1.3391000,292.5 ONDO,+11.40260999 USDT
2025-02-12 17:31:04,ICPUSDTPerp,2025-02-12 17:31:04ICPUSDTPerpOpen long6.84300028 ICP0.00000000 USDT,Open long,6.843000,28 ICP,0.00000000 USDT
2025-02-12 17:30:13,1000PEPEUSDTPerp,"2025-02-12 17:30:131000PEPEUSDTPerpOpen long0.009110823,473 1000PEPE0.00000000 USDT",Open long,0.0091108,"23,473 1000PEPE",0.00000000 USDT
2025-02-12 17:25:56,1000PEPEUSDTPerp,"2025-02-12 17:25:561000PEPEUSDTPerpOpen long0.009245220,410 1000PEPE0.00000000 USDT",Open long,0.0092452,"20,410 1000PEPE",0.00000000 USDT
